karyo	nucleus
kinet-	movement
lact-	milk
lamin-	layer (sheet)
leuco-, leuko-	white
liga-	bound (tied)
limn-	lake
lip-	fat
-lith, -lite	stone
littor-	shore
-logos, -ology	study of
lysis, lyso-	split (dissolve)
macro-	large
mal-	evil
marsup-	pouch
mega-	great (million)
melan-	dark (black)
-mer, -mere	part
meristo-	divided
meso-	middle
meta-	change (between)
micro-	small (millionth)
mon, mono	one
morph-	form (shape)
muta-	change
myco-	fungus
myo	    muscle
nephr-	kidney
neur	nerve
odont-	tooth
-oid	in the form of
-ole, -ola, -olum	small
olingo-	few
-oma	tumor (abnormal)
onc-	cancer
-osis	process of change
osteo-	bone
ovum, ovi-, oo, oogenesis	egg
